Title,Revenue,LQS,Price,Category,Shop,Sales,Monthly sales,Creator,Product creation era,Views,Video,URL,Tag count,Tags,Review rate,Reviews,Review score,Production partners,Processing time,Min processing time,Max processing time,Favorites,Listing age (days),Personalization required,Creation date,Listing type,Vintage,Supply item,Personalizable,Image count,Free US shipping,Conversion rate,BSR Category,BSR Category (%),Monthly revenue
"4.20 CT Radiant Cut Moissanite Wedding Bridal Set, 14K Solid Gold, With Round Eternity Band, Engagement Ring Set Promise Ring Unique Radiant","$3765","42","$268.99","Jewelry","OrryJewelryCo","14","5","Shop owner","Made to Order","1983","Yes","https://www.etsy.com/listing/4322969673/420-ct-radiant-cut-moissanite-wedding","13","valentine gift,unique wedding set,radiant wedding set,wedding ring set,engagement ring set,anniversary gift,vintage style ring,bridal ring set,bridal set ring,radiant bridal set,radiant cut ring,moissanite diamond,ring for girlfriend","0.00%","0","0.00","None","10.50 days","7 days","14 days","73","81","No","19 Haz, 2025","Physical","No","No","Yes","8","No","0.71%","NaN","0.0","$1470",
"Hammered Yellow Gold Wedding Band with Rose Gold Inlay | Tungsten Wedding Womens Ring in 2mm","$8225","63","$175.00","Jewelry","LadiesAndGentsBands","47","5","Shop owner","Made to Order","6615","No","https://www.etsy.com/listing/1817600423/hammered-yellow-gold-wedding-band-with","13","Tungsten Carbide,Tungsten Ring,Wedding,Brushed Ring,Womens,Hammered,Rose Gold Band,Gold Wedding Band,2mm Gold Ring,Hammered Yellow Gold,Yellow Gold Band,Gold Wedding,Yellow Gold Ring","29.79%","14","5.00","None","1.00 days","1 days","1 days","302","313","No","30 Eki, 2024","Physical","No","No","No","10","Yes","0.71%","NaN","0.0","$794",
"Eternity Band, Minimalist Ring, Stacking Ring, Eternity Ring, Stacking Ring, Diamond Ring, Dainty Ring, Wedding Band, Gift for Her Gold Ring","$195","42","$39.00","Jewelry","SamiJEWELS","5","5","Member of the shop","","348","Yes","https://www.etsy.com/listing/4351567609/eternity-band-minimalist-ring-stacking","12","Stacking rings,eternity band,promise ring,diamond ring,dainty ring,minimalist ring,eternity ring,sami jewels,gift for her,gold ring,silver ring,ring for women","0.00%","0","0.00","None","1.00 days","1 days","1 days","36","25","No","13 A%u011Fu, 2025","Physical","No","No","No","9","Yes","1.44%","NaN","0.0","$492",
"Silver Women Ring Set · Sterling Silver Minimalist Multi-stone Crystal Stone Rings Wedding Designer Daily Best Looking WATERPROOF Gift Rings","$3892","58","$46.90","Jewelry","LunaScottJewelry","83","5","Shop owner","Made to Order","17852","Yes","https://www.etsy.com/listing/1703545522/silver-women-ring-set-sterling-silver","13","statement ring,women men gift ring,stackable rings,minimalist ring gift,thin wedding ring,bridesmaid rings,sterling silver ring,silver band rings,silver thin band,silver dainty ring,white gold Diamond,women silver rings,white gold ring","18.07%","15","4.80","None","1.00 days","1 days","1 days","919","506","No","19 Nis, 2024","Physical","No","No","Yes","9","No","0.46%","NaN","0.0","$232",
"Vintage Baguette cut Moissanite Open Wedding band Unique Yellow gold ring Bezel band Wedding ring Matching band Stackable ring Promise ring","$3840","42","$320.00","Jewelry","Bywardjewelry","12","5","Shop owner","Made to Order","1233","No","https://www.etsy.com/listing/4315972892/vintage-baguette-cut-moissanite-open","13","Bridal ring,Promise ring,Anniversary ring,Wedding ring,Stackable ring,Matching ring,Baguette ring,silver ring,Bezel band,unique ring,yellow gold ring,Open Wedding band,moissanite ring","0.00%","0","0.00","None","17.50 days","14 days","21 days","69","95","No","05 Haz, 2025","Physical","No","No","No","5","Yes","0.97%","NaN","0.0","$1548",
"2.5CT Pear Moissanite Engagement Ring Bypass Band Unique Ring 14K Solid Gold Ring Wedding Ring Curved Band Promise Ring Anniversary Gift","$3432","42","$245.19","Jewelry","HBMJewels","14","5","Shop owner","Made to Order","1895","No","https://www.etsy.com/listing/4322942423/25ct-pear-moissanite-engagement-ring","13","pear cut ring,moissanite ring,engagement ring,bypass ring,east west ring,unique ring,14K gold ring,Solid Gold Ring,Wedding ring,curved band ring,promise ring,anniversary gift,gift for women","0.00%","0","0.00","None","6.00 days","5 days","7 days","107","81","No","19 Haz, 2025","Physical","No","No","Yes","5","Yes","0.74%","NaN","0.0","$1319",
"Opal Eternity Band / Opal Inlay Band / Sterling Silver Wedding Band / Minimalist / Gold & Rose Gold Vermeil","$27156","63","$73.00","Jewelry","SimplyBridall","372","5","Member of the shop","Made to Order","58079","No","https://www.etsy.com/listing/756815606/opal-eternity-band-opal-inlay-band","10","Wedding Band,Anniversary Band,Eternity Band,Simple Band,Minimalist,Stacking Band,opal band,opal,opal inlay,opal eternity band","26.88%","100","4.96","None","3.00 days","2 days","4 days","2467","2062","No","16 Oca, 2020","Physical","No","No","No","8","Yes","0.64%","NaN","0.0","$400",
"3ct Oval Moissanite Engagement Ring, 18k Gold Thick Wide Band Ring, Solitaire Moissanite Ring, Wedding Gift For Women, Diamond Gift Ring","$700","47","$140.00","Jewelry","DazzyStix","5","5","Shop owner","Made to Order","353","No","https://www.etsy.com/listing/4339299146/3ct-oval-moissanite-engagement-ring-18k","13","Minimalist Ring,Promise Ring,Moissanite Ring,Engagement Ring,Oval Moissanite Ring,Personalized Ring,Wedding Ring,Gift for Her,Prong Set Ring,Gold Wide Band Ring,Single Stone Ring,Diamond Ring,Solitaire Ring","0.00%","0","0.00","None","6.00 days","5 days","7 days","6","48","No","22 Tem, 2025","Physical","No","No","No","10","Yes","1.42%","NaN","0.0","$901",
"Half Eternity 14k Solid Gold Wedding Band Moissanite Minimalist Diamond Marriage Band Flat Stacking Ring Comfort Fit Classic Womens Band","$1694","37","$121.00","Jewelry","RingsJewels","14","5","Member of the shop","Made to Order","1947","No","https://www.etsy.com/listing/4310841861/half-eternity-14k-solid-gold-wedding","13","14k Yellow Gold Band,Solid Gold Ring,Plain Wedding Ring,Simple Wedding Ring,Womens Gold Ring,Comfort Fit Ring,Engravable Band Ring,Moissanite Eternity,Pave Diamond Ring,3mm 14k Gold Band,3mm Flat Gold Ring,3mm Wedding Band,3mm Gold Band Ring","0.00%","0","0.00","None","9.00 days","6 days","12 days","56","105","Yes","26 May, 2025","Physical","No","No","Yes","5","Yes","0.72%","NaN","0.0","$584",
"Carnelian Ring, Gold Plated Minimalist Stacking Ring, Carnelian Gemstone Ring, Solitaire Dainty Ring for Her, Small Oval Stone Ring Band","$141","53","$28.39","Jewelry","THEWORLDGEMSJEWELRY","5","5","Shop owner","","398","Yes","https://www.etsy.com/listing/4347360620/carnelian-ring-gold-plated-minimalist","13","Carnelian ring,gold filled ring,gold band,gemstone ring,red orange stone,oval carnelian ring,small gemstone ring,minimalist ring,stacking ring,solitaire band,thin ring,dainty gold ring,gold plated ring","0.00%","0","0.00","None","1.50 days","1 days","2 days","27","32","No","06 A%u011Fu, 2025","Physical","No","No","No","10","Yes","1.26%","NaN","0.0","$138",
"Mens Ring - 18K Gold / Silver Band Ring For Men - Chunky Pattern Mens Boho Ring - Gold Signet Ring - Mens Jewelry - Mens Pinky Ring Gift","$1439","42","$28.23","Jewelry","Twistedpendant","51","5","Production partner","","3592","No","https://www.etsy.com/listing/1793565516/mens-ring-18k-gold-silver-band-ring-for","13","boho rings,silver ring men,mens gold ring,mens pinky ring,silver signet ring,mens jewelry,rings for men,gold ring men,mens vintage ring,signet ring men,chunky band ring,mens band ring,patterned band ring","13.73%","7","4.70","Lindsey","1.00 days","1 days","1 days","233","333","No","10 Eki, 2024","Physical","No","No","No","10","No","1.42%","NaN","0.0","$131",
"3 CT Oval Cut Moissanite Trio Bridal Ring Set Engagement Ring Set 14K Yellow Gold Wedding Ring With Two Matching Band Anniversary Ring Set","$3421","47","$244.38","Jewelry","Gemiogemss","14","5","Shop owner","Made to Order","2922","Yes","https://www.etsy.com/listing/4316948196/3-ct-oval-cut-moissanite-trio-bridal","13","Oval Moissanite Ring,Oval Engagement Ring,Wedding Ring Set,Engagement Ring Set,Oval Ring Set,Oval Cut Ring,Vintage Ring Set,14K Gold Ring,Anniversary Ring Set,Anniversary Gift,Moissanite Ring Set,Trio Bridal set,Gift For Women","0.00%","0","0.00","None","6.00 days","5 days","7 days","168","93","No","07 Haz, 2025","Physical","No","No","Yes","10","Yes","0.48%","NaN","0.0","$1252",
"Two-Tone Stainless Steel Ear Cuff: Silver & Gold Non-Pierced Cartilage Clip, Wateproof, No Tarnish","$1261","84","$34.10","Jewelry","ElettraJewellery","37","5","Production partner","","1056","No","https://www.etsy.com/listing/1871174025/two-tone-stainless-steel-ear-cuff-silver","13","two tone ear cuff,silver gold ear cuff,stainless steel,waterproof ear cuff,no fade ear cuff,cartilage ear cuff,simple ear cuff,no pierced ear cuff,single band ear cuff,gift for her,statement ear cuff,c shape ear cuff,mixed metal ear cuff","18.92%","7","4.86","Production partner","1.50 days","1 days","2 days","128","212","No","08 %u015Eub, 2025","Physical","No","No","No","8","Yes","3.50%","NaN","0.0","$179",
"0.3tcw Micro Pave Moissanite Ring Delicate Wedding Band Anniversary Gift for Her Pave Ring Bridesmaid Gift Wedding Band in White Gold","$26400","53","$200.00","Jewelry","GoldenGloryJewels","132","5","Shop owner","Made to Order","11722","Yes","https://www.etsy.com/listing/1504122861/03tcw-micro-pave-moissanite-ring","13","minimalist band,delicate band,art deco,Moissanite band,wedding band,matching band,half eternity band,vintage jewelry,round cut ring,round moissanite,round engagement,tiny band,diamond band","27.27%","36","4.97","None","12.00 days","12 days","12 days","338","816","No","15 Haz, 2023","Physical","No","No","No","7","Yes","1.13%","NaN","0.0","$973",
"18K Solid Gold Solitaire Radiant Cut Moissanite Engagement Ring, Wide Band Ring, Promise Ring for Her, Anniversary Gift for Women","$490","42","$98.00","Jewelry","ElenajewelryUSA","5","5","Shop owner","Made to Order","376","No","https://www.etsy.com/listing/4345291349/18k-solid-gold-solitaire-radiant-cut","13","14k gold ring,anniversary gift,solitaire ring,handmade ring,birthday gift,minimalist ring,gold moissanite ring,3ct moissanite ring,radiant cut ring,gift for women,wide band ring,thick band ring,radiant moissanite","0.00%","0","0.00","None","6.00 days","5 days","7 days","16","37","Yes","02 A%u011Fu, 2025","Physical","No","No","Yes","4","Yes","1.33%","NaN","0.0","$446",
"0.60 Ct Diamond Ring, 14K Gold 2 Stone Diamond Bypass Ring, Lab Grown Diamond Ring","$74338","63","$682.00","Jewelry","ElizabethJewelryInc","109","5","Member of the shop","","11536","Yes","https://www.etsy.com/listing/1591033269/060-ct-diamond-ring-14k-gold-2-stone","13","thin diamond band,graduation gift,everyday ring,dainty diamond ring,stackable ring,diamond wedding band,engagement ring,minimalist ring,solid 14k gold ring,natural diamond ring,genuine diamond ring,stacking ring,promise ring","24.77%","27","4.80","None","1.50 days","1 days","2 days","414","690","No","19 Eki, 2023","Physical","No","No","No","8","Yes","0.94%","NaN","0.0","$3319",
"14Kt Gold 0.75 Ct Diamond Band, Diamond Wedding Band, Lab Grown Diamond Band, Half Eternity Diamond Wedding Band, Beautiful White Diamonds","$117820","63","$860.00","Jewelry","ElizabethJewelryInc","137","5","Member of the shop","","25410","Yes","https://www.etsy.com/listing/1500920862/14kt-gold-075-ct-diamond-band-diamond","13","diamond band,half eternity band,eternity ring,eternity band,wedding band,wedding diamond,14kt gold wedding,micro pave band,promise band,engagement band,stackable band,stacking band,layering ring","24.82%","34","5.00","None","1.50 days","1 days","2 days","593","799","No","02 Tem, 2023","Physical","No","No","No","5","Yes","0.54%","NaN","0.0","$4526",
"Vintage Moissanite engagement ring Set Unique rose gold Cluster engagement ring Double curved Alexandrite wedding band Bridal Promise gift","$65797","68","$384.78","Jewelry","FOneUS","171","5","Shop owner","Made to Order","0","Yes","https://www.etsy.com/listing/1320296249/vintage-moissanite-engagement-ring-set","13","Engagement ring,Moissanite ring,Moissanite ring set,Double curved band,Alexandrite ring,Baguette band,Vintage ring set,Bridal wedding set,Rose gold ring,Promise gift,Art deco ring,Round cut ring,Multi stone ring","29.24%","50","4.84","None","24.50 days","21 days","28 days","15449","1067","No","07 Eki, 2022","Physical","No","No","No","10","Yes","2.00%","NaN","0.0","$1852",
"Hidden halo engagement ring 1.5 up to 3 carat solitaire oval moissanite ring oval 14k 1.5mm thin band & 0.11 ct Hidden halo diamond","$280160","58","$824.00","Jewelry","GioielliRings","340","5","Shop owner","Made to Order","370181","Yes","https://www.etsy.com/listing/806608821/hidden-halo-engagement-ring-15-up-to-3","13","Custom Celebrity,Oval Engagement Ring,14k Gold Ring,Promise Ring,Moissanite Ring,engagement ring,oval solitaire ring,Moissanite oval ring,Moissanite solitaire,3ct Engagement Ring,thin band,Hidden halo diamond,3 carat solitaire","27.65%","94","4.96","None","8.50 days","7 days","10 days","8427","1948","Yes","09 May, 2020","Physical","No","No","No","10","Yes","0.09%","NaN","0.0","$4323",
"0.25 Ct Diamond Ring, 14K Diamond Ring, Real Natural Diamond Ring, Real Gold Ring","$121941","68","$797.00","Jewelry","ElizabethJewelryInc","153","5","Member of the shop","","49420","Yes","https://www.etsy.com/listing/1327065016/025-ct-diamond-ring-14k-diamond-ring","13","graduation gift,everyday ring,dainty diamond ring,stackable ring,diamond wedding band,engagement ring,minimalist ring,solid 14k gold ring,natural diamond ring,genuine diamond ring,stacking ring,promise ring,party wear","24.84%","38","4.70","None","1.50 days","1 days","2 days","1372","1036","No","06 Kas, 2022","Physical","No","No","No","10","Yes","0.31%","NaN","0.0","$3593",
"Mens Ring Gold Polished Band Ring Mens Gold Ring Stainless Steel Ring Mens Jewelry Gift for Him Gold Jewellery Twistedpendant","$6726","47","$21.63","Jewelry","Twistedpendant","311","5","Production partner","","25141","No","https://www.etsy.com/listing/785718052/mens-ring-gold-polished-band-ring-mens","13","mens gold ring,gold polished ring,mens ring,Gold band ring,Gold ring for man,Mens gold rings,Gold band ring men,rings for men,mens pinky ring,signet ring men,18k gold plated ring,mens signet ring,mens band ring","13.83%","43","4.70","Lindsey","1.00 days","1 days","1 days","778","1963","No","24 Nis, 2020","Physical","No","No","No","10","No","1.24%","NaN","0.0","$104",
"cuff ponytail holder gold silver metal genie cover hair tie band circle wrap ring lightly brushed texture","$1550","74","$7.99","Accessories","FunFashionAccess","194","5","Shop owner","","6575","Yes","https://www.etsy.com/listing/1241274393/cuff-ponytail-holder-gold-silver-metal","13","ponytail holder,genie ponytail,metal feather,metal leaf,hair band,feather,metal ponytail,ponytail cuff,cuff,circle,metal cuff,metal silver cuff,metal gold cuff","18.04%","35","4.89","None","1.50 days","1 days","2 days","556","1198","No","28 May, 2022","Physical","No","No","No","10","No","2.95%","NaN","0.0","$39",
"Mens Ring, Hammered Gold Band Ring - 18K Gold Band Ring Men - Chunky Gold Ring - Gold Pinky Ring - Rings for Men - Mens Jewelry Signet Ring","$505","37","$22.98","Jewelry","Twistedpendant","22","5","Production partner","","1773","No","https://www.etsy.com/listing/1890336846/mens-ring-hammered-gold-band-ring-18k","13","Mens ring,Gold signet ring men,mens pinky ring,mens jewellery,gold band ring,gold ring men,mens gold ring,rings for men,gold band ring men,gold ring,18k gold plated ring,gold hammered ring,hammered band ring","13.64%","3","4.30","Lindsey","1.00 days","1 days","1 days","101","143","No","17 Nis, 2025","Physical","No","No","No","10","No","1.24%","NaN","0.0","$118",
"Mens Ring - Silver Lightning Bolt Ring for Men - Mens Silver Ring - Unisex Adjustable Band Ring - Gold Signet Ring Men - By Twistedpendant","$4096","58","$20.28","Jewelry","Twistedpendant","202","5","Production partner","","8678","No","https://www.etsy.com/listing/1167666008/mens-ring-silver-lightning-bolt-ring-for","13","lightning bolt ring,mens adjustable ring,silver signet ring,streetwear rings,mens ring silver,boys band ring,mens silver ring,silver rings for men,man silver ring,silver band rings,mens jewelry rings,silver bolt rings,silver ring man uk","13.86%","28","4.80","Lindsey","1.00 days","1 days","1 days","611","1298","No","18 %u015Eub, 2022","Physical","No","No","No","10","No","2.33%","NaN","0.0","$96",
"Black Onyx Signet Silver Ring - Mens Ring, Onyx Ring - Signet Ring Mens - Rings for Men, Stainless Steel Ring, 18K Gold Signet Band Ring","$9234","58","$36.50","Jewelry","Twistedpendant","253","5","Production partner","","15614","Yes","https://www.etsy.com/listing/1051804334/black-onyx-signet-silver-ring-mens-ring","13","Mens onyx rings,Mens ring,Gold signet ring men,Silver signet rings,Silver rings for men,silver signet ring,Black onyx rings,Rings for men,18k gold rings,mens gold rings,silver ring men,onyx ring men,mens pinky ring","13.83%","35","4.50","Lindsey","1.00 days","1 days","1 days","518","1489","No","10 A%u011Fu, 2021","Physical","No","No","No","10","No","1.62%","NaN","0.0","$188",
"Double Band Ear Cuff with Dangle Chain ,925 Sterling Silver Conch Cuffs Earring No Piercing,Unisex Cartilage Earrings,Birthday Gift","$1128","74","$24.00","Jewelry","One18Art","47","5","Member of the shop","","2808","No","https://www.etsy.com/listing/1830833225/double-band-ear-cuff-with-dangle-chain","13","Ear Cuff Non Pierced,ear cuff,ear cuffs,silver ear cuff,dangle cuff earrings,Gift for her,Double Band Ear Cuff,sterling silver,Huggie Ear Cuff,conch earring,chain dangle,chian ear cuff,gold chian ear cuffs","19.15%","9","5.00","None","3.00 days","1 days","5 days","374","289","No","23 Kas, 2024","Physical","No","No","No","9","Yes","1.67%","NaN","0.0","$128",
"10kt Solid Gold | Gold Ring | Bridesmaid gift | Stacking Ring | Gift for Her | Gold Ring I Three Band Ring I Fashion Jewelry","$75480","68","$185.00","Jewelry","ZahavJewelry","408","5","Shop owner","","57945","Yes","https://www.etsy.com/listing/682347829/10kt-solid-gold-gold-ring-bridesmaid","13","Gold Ring,Stacking Ring,three band ring,band ring,rings for women,delicate ring,10k solid gold ring,gift for mom,bridesmaid gift,Rings,fashion jewelry,gold jewelry,Valentines Day","28.68%","117","4.77","None","2.00 days","1 days","3 days","2116","2400","No","11 %u015Eub, 2019","Physical","No","No","No","9","Yes","0.70%","NaN","20.0%","$944",
"2.5 CT Cushion Cut Moissanite Engagement Ring Set 14K Yellow Gold Ring Matching Diamond Band Unique Bridal Ring Set Women Anniversary Gift","$575","42","$115.00","Jewelry","LucenzaJewels","5","5","Shop owner","Made to Order","339","No","https://www.etsy.com/listing/4346689002/25-ct-cushion-cut-moissanite-engagement","13","Engagement Ring,Cushion Cut Ring,Wedding Ring Set,Anniversary Gift,Promise Ring,14K Yellow Gold Ring,Engagement Ring Set,Diamond Ring Set,Moissanite Ring,Moissanite Ring Set,Bridal Ring Set,2 Carat Diamond Ring,Cushion Moissanite","0.00%","0","0.00","None","10.50 days","7 days","14 days","15","34","Yes","05 A%u011Fu, 2025","Physical","No","No","Yes","6","Yes","1.47%","NaN","0.0","$535",
"Diamond Bezel Eternity Band, 14k Gold, Dainty Wedding Ring, Stacking Ring, Diamond Eternity Ring, Full Eternity Bezel Round Diamonds, Camila","$126236","58","$418.00","Jewelry","SarahEliseJewelry","302","5","Member of the shop","Made to Order","76569","No","https://www.etsy.com/listing/816748586/diamond-bezel-eternity-band-14k-gold","13","diamond eternity,bezel eternity,dainty wedding band,round diamond band,spacer ring,bridal jewelry,handmade 14k gold,18K solid real,anniversary gift,birthday present,sparkle diamonds,yellow white rose,sarah elise jewelry","33.77%","102","4.94","None","7.00 days","4 days","10 days","3271","1898","No","27 Haz, 2020","Physical","No","No","No","10","Yes","0.39%","NaN","0.0","$2009",
"Gold Apple Watch Band Series 9/8/7/6/5/4/3/SE/Ultra/Ultra 2 for iWatch Band 38 40 41mm 42 44 45 49mm Apple Watch Straps Watch Charms","$162","53","$18.00","Jewelry","CindyYuBusiness","9","5","Shop owner","Made to Order","763","Yes","https://www.etsy.com/listing/4328522559/gold-apple-watch-band-series","13","apple watch women,apple watch armband,apple watch band,men metal apple band,Starlight watch band,gift for mom,gift for kids,best friend gift,christmas gift,gift for her,gift for him,anniversary gift,birthday gift","0.00%","0","0.00","None","3.00 days","1 days","5 days","37","69","No","01 Tem, 2025","Physical","No","No","No","9","Yes","1.18%","NaN","0.0","$85",
"Mens Pinky Ring - Silver Signet Ring Men - Plain Smooth Pinky Ring Men - 18K Gold Signet Ring Mens - Gold rings for Men - Mens Jewelry gifts","$4641","63","$22.98","Jewelry","Twistedpendant","202","5","Production partner","","6787","Yes","https://www.etsy.com/listing/1207550086/mens-pinky-ring-silver-signet-ring-men","13","Gift For Him,Mens rings,Silver Signet Ring,Silver rings for men,Mens ring,Silver rings,Mens band ring,mens pinky ring,pink ring men,smooth signet ring,mens jewelry gifts,gold signet ring men,mens gold rings","13.86%","28","4.60","Lindsey","1.00 days","1 days","1 days","198","1232","No","25 Nis, 2022","Physical","No","No","No","10","No","2.98%","NaN","0.0","$114",
"Atrio Tile Ring Portugal Gold Blue Tiles STaINLESS STEEL Portuguese Antique Azulejo - Tiles Ships from USA Gold or Silver Tone","$9913","63","$53.30","Jewelry","Atrio","186","5","Shop owner","","25345","Yes","https://www.etsy.com/listing/1203597576/atrio-tile-ring-portugal-gold-blue-tiles","12","tile,portugal,azulejos,Atrio,portuguese tile,portugal tile,portugal ring,tile ring,stainless steel ring,statement earrings,red ring,Atrio Ring","19.89%","37","4.86","None","1.50 days","1 days","2 days","1956","1238","No","18 Nis, 2022","Physical","No","No","No","10","Yes","0.73%","NaN","0.0","$242",
"Matching wedding bands, Gold plated silver for her and platinum plated silver for him, 2mm & 4mm wide, BE251","$1086","42","$181.00","Jewelry","SilverJewellerySpot","6","5","Shop owner","Made to Order","489","No","https://www.etsy.com/listing/4332236930/matching-wedding-bands-gold-plated","12","promise rings,jewelry from Greece,silver wedding bands,tree bark bands,couples wedding ring,tree bark band set,matching wedding ban,his hers ring,wood bark band,artistic nature band,gold her silver him,silver gold bands","0.00%","0","0.00","None","22.50 days","20 days","25 days","32","61","Yes","08 Tem, 2025","Physical","No","No","Yes","10","Yes","1.23%","NaN","0.0","$886",
"Mens Ring - Black & Gold Styled Ring Gold- Polished Ring- Man Ring- Silver Signet Ring- Men Jewelry- For Him Gift- Stainless Steel Ring","$6485","47","$24.20","Jewelry","Twistedpendant","268","5","Production partner","","19852","No","https://www.etsy.com/listing/946295001/mens-ring-black-gold-styled-ring-gold","13","Gold Onyx Ring,Gold Signet Ring,Mens rings,Stainless steel ring,Gold Rings men,Silver signet ring,Silver rings men,Gold rings for men,Mens band rings,statement ring men,gold pinky ring men,mens ring vintage,mens jewelry","13.81%","37","4.90","Lindsey","1.00 days","1 days","1 days","790","1691","No","20 Oca, 2021","Physical","No","No","No","10","No","1.35%","NaN","0.0","$115",
"Mens Ring - Motif Patterned Silver Signet Ring For Men - Silver / Gold Signet / Band / Pinky Ring - Mens Jewelry - Mens Gold Ring Gift UK","$1103","47","$21.63","Jewelry","Twistedpendant","51","5","Production partner","","10635","No","https://www.etsy.com/listing/1800893496/mens-ring-motif-patterned-silver-signet","13","mens rings,rings for men,gold ring men,signet ring men,mens gold ring,pinky ring men,mens ring,mens pinky ring,mens signet ring,silver ring men,mens silver ring,mens band ring,gold rings for men","13.73%","7","5.00","Lindsey","1.00 days","1 days","1 days","231","318","No","24 Eki, 2024","Physical","No","No","No","10","No","0.48%","NaN","0.0","$109",
